mac_start,mac_end,mac_len,hum_chrom,hum_start,hum_end,hum_len,strand,score
1497081,33832797,32335717,chr22,845279,31955279,31110001,-,1630240000.0
2315359,2315667,309,chr22,1662396,1662605,210,-,11002.0
2315424,2315667,244,chr22,1662396,1662637,242,-,12398.0
2315446,2315571,126,chr22,1662577,1662702,126,-,5168.0
2315446,2315634,189,chr22,1662481,1662668,188,-,8880.0
2315540,2315699,160,chr22,1662542,1662701,160,-,6720.0
2315540,2315667,128,chr22,1662446,1662573,128,-,6010.0
2315552,2315798,247,chr22,1662362,1662605,244,-,12392.0
2315554,2315667,114,chr22,1662396,1662509,114,-,6772.0
2315669,2315865,197,chr22,1662382,1662575,194,-,8020.0
2346959,2347145,187,chr22,1694364,1694550,187,-,5408.0
2346975,2347083,109,chr22,1694742,1694850,109,-,5926.0
2347027,2347135,109,chr22,1694742,1694850,109,-,5452.0
2347036,2347196,161,chr22,1694415,1694575,161,-,6498.0
2347062,2347196,135,chr22,1694415,1694549,135,-,5468.0
2358836,2358920,85,chr22,1708031,1708115,85,-,6338.0
2394883,2395011,129,chr22,1733926,1734054,129,-,9042.0
2394883,2394977,95,chr22,1733960,1734054,95,-,6958.0
2394906,2395021,116,chr22,1733881,1733996,116,-,6836.0
2416438,2416509,72,chr22,1755829,1755900,72,-,5270.0
2424897,2424957,61,chr22,1761991,1762051,61,-,5188.0
